Anho,Mes,DC,DSB,Lon,Lat,SST,SSS,SSO,Depth,Anch,Sard,Jur,Cab,Sam,Mun,Fvol,Bagr,Pota,Vinc,Camo,Micto,Euph,Pcin,water.type,watermass,num.card.ANC,prof.card.ANC
2008,11,88.48814154,12.59895357,-80.36633333,-7.63033333,18.331,35.066,NA,NA,35.987319,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.44153151,12.74068194,-80.36133333,-7.64670037,18.346,35.065,NA,NA,8.512255,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.43981753,13.10569015,-80.3563439,-7.6631561,18.36,35.064,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.46936087,13.71159347,-80.35133333,-7.67939124,18.375,35.064,NA,NA,60.516319,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.52616618,14.53003852,-80.34619227,-7.69564106,18.389,35.063,NA,NA,5.982165,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.61956848,15.47753683,-80.34133333,-7.712,18.404,35.063,NA,NA,177.415084,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.69327318,16.3692152,-80.33633333,-7.72843967,18.419,35.063,NA,NA,58.01165,0,0,0,0,0,0,0,2.782532,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.82714114,17.44058614,-80.3315,-7.7449308,18.435,35.063,NA,NA,0,0,0,0,0,0,0,0,14.44072,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.95710158,18.60260704,-80.32633333,-7.76116667,18.45,35.064,NA,NA,0,0,0,0,0,0,0,0,16.089388,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,89.10901151,16.83594457,-80.3209862,-7.77740691,18.466,35.064,NA,NA,0,0,0,0,0,0,0,0,7.581929,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,89.32979254,15.08922686,-80.31585555,-7.79380001,18.482,35.065,NA,NA,0,0,0,0,0,0,0,0,7.885245,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,88.97501004,13.75059518,-80.30799251,-7.803,18.483,35.066,NA,NA,0,0,0,0,0,0,0,0,3.554931,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,87.10787711,13.53836584,-80.29352525,-7.794,18.443,35.065,NA,NA,0,0,0,0,0,0,0,0,0.096481,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,85.22865968,13.47711914,-80.27853804,-7.78583333,18.401,35.064,NA,NA,0,0,0,0,0,0,0,0,0.146212,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,83.35171109,13.59093551,-80.26349365,-7.77783333,18.36,35.063,NA,NA,2.417786,0,0,0,0,0,0,0,1.477165,0,0,0,0,NA,NA,MCS,NA,NA
2008,11,81.46421114,13.6678563,-80.24842081,-7.76966667,18.317,35.062,NA,NA,1.615779,0,0,0,0,0,0,0,1.505178,0,0,0,0,NA,NA,MCS,NA,NA
